,Statistic,#,Name,Pos.,Yr.,Ht.,Wt.,Hometown / High School,Previous School,Image,Title
79,,48.0,Treven Ma'ae,DL,So.,6-5,272.0,"Kapolei, Hawaii / Bishop Gorman HS",,,
80,,49.0,Camden Lewis,K,Jr.,5-10,206.0,"Charlotte, N.C. / Hough HS",,,
81,,50.0,Popo Aumavae,DT,Sr.,6-3,304.0,"Stockton, Calif. / St. Mary's HS",,,
82,,52.0,Dave Iuli,OL,Fr.,6-3,339.0,"Puyallup, Wash. / Puyallup HS",,,
83,,52.0,Ben Roberts,DL,Fr.,6-2,311.0,"Lakewood, Wash. / East HS (Utah)",,,
84,,53.0,Ryan Walk,OL,Sr.,6-3,292.0,"Eugene, Ore. / Sheldon HS",,,
85,,55.0,Marcus Harper II,OL,So.,6-3,313.0,"Chicago Heights, Ill. / Homewood-Flossmoor HS",,,
86,,55.0,Taki Taimani,DL,Jr.,6-3,315.0,"Salt Lake City, Utah / East HS",Washington,,
87,,56.0,T.J. Bass,OL,Sr.,6-4,325.0,"Deming, Wash. / Mt. Baker HS",Butte College,,
88,,57.0,Luke Basso,LS,R-Fr.,6-3,227.0,"Lake Oswego, Ore. / Lakeridge HS",,,
89,,58.0,Jackson Powers-Johnson,DL/OL,So.,6-3,319.0,"Draper, Utah / Corner Canyon HS",,,
90,,60.0,Kanen Rossi,OL,R-Fr.,6-1,286.0,"Portland, Ore. / Sunset HS",,,
91,,61.0,Josh Simmons,DL,So.,6-6,280.0,"Asheville, N.C. / T.C. Roberson",Catawba College,,
92,,62.0,Holden Whipple,OL,R-Fr.,6-4,300.0,"Salem, Ore. / West Salem HS",Northern Arizona,,
93,,65.0,Charlie Pickard,OL,R-Fr.,6-4,284.0,"Portland, Ore. / Jesuit HS",,,
94,,67.0,Cole Young,OL,So.,6-5,321.0,"Medina, Wash. / Bellevue HS",,,
