,Statistic,No.,Name,Pos.,Ht.,Wt.,Yr.,Hometown,Current School Name,High School,Previous School,Twitter,Instagram,Image,Title
15,,8.0,Jordan Revels,OLB,5-11,235.0,Jr.,"Houston, Texas",Texas State,North Shore,,jordanrevels95,thaflyestvulture__,,
16,,9.0,DeMarrquese Hayes,OLB,5-11,215.0,So.,"Waco, Texas",Texas State,La Vega HS,Kansas State,highlight_q,thedemarrquesehayes,,
17,,9.0,Drue Jackson,WR,6-0,195.0,Jr.,"Garland, Texas",Texas State,Sachse,Tyler JC,thedruejackson,thedruejackson,,
18,,10.0,Issiah Nixon,OLB,6-0,235.0,So.,"Fort Bend, Texas",Texas State,Elkins HS,,itookey29,zay.fye,,
19,,10.0,Tanner Prewit,QB,6-0,210.0,R-So.,"Dripping Springs, Texas",Texas State,Dripping Springs HS,Arizona State,PrewitTanner,tanner_prewit10,,
20,,11.0,Calvin Hill,RB,5-8,185.0,R-So.,"Baytown, Texas",Texas State,Ross Sterling HS,,calvin_hill11,calvo_dwayne,,
21,,12.0,CJ Rogers,QB,6-3,200.0,R-Fr.,"Argyle, Texas",Texas State,Argyle,Baylor,cj1rogers,cjrog3rs,,
22,,12.0,Tory Spears,S,6-3,200.0,R-Jr.,"Houston, Texas",Texas State,Cypress Woods HS,Iowa State,tory_spears,_txry_,,
23,,13.0,Charles Brown,WR,5-11,170.0,R-Fr.,"Grand Prairie, Texas",Texas State,Arlington,Montana State,officialcbrown1,,,
24,,14.0,Kenny Haynes,ILB,6-1,215.0,R-So.,"Edna, Texas",Texas State,Edna HS,,HaynesKendis,kennyh.17,,
25,,14.0,Derek Mata,QB,5-11,200.0,,"Spring Branch, Texas",Texas State,Smithson Valley,,,,,
26,,15.0,Damarius Good,RB,5-11,195.0,R-So.,"Orlando, Fla.",Texas State,Lake Brantley,UCF,damariusgood,dgoodx2,,
27,,15.0,Rodrick Hockley,CB,6-0,170.0,R-Jr.,"Galveston, Texas",Texas State,Ball HS,Navarro CC,_hockley409,_hockley,,
28,,16.0,Javen Ware,CB,5-10,180.0,So.,"Hernando, Miss.",Texas State,Hernando,Coahoma Community College,WareJaven,cinco.jay_,,
29,,17.0,Julian Ortega-Jones,WR,6-2,200.0,R-Jr.,"Fort Worth, Texas",Texas State,North Crowley HS,Bowling Green,julianjones0315,julians_life,,
30,,18.0,Marcell Barbee,WR,6-1,195.0,Sr.,"Pueblo, Colo.",Texas State,Pueblo South HS,Iowa Western CC,MarcellBarbee18,longlive26_,,
31,,18.0,Christian Tschauner,S,5-11,190.0,R-So.,"Odessa, Texas",Texas State,Permian,Texas,,tschauner5,,
32,,19.0,Dennis Robinson,WR,6-5,220.0,R-Sr.,"Hollywood, Fla.",Texas State,South Broward HS,Northern Illinois,D_rob17,d.rob19,,
