,Statistic,#,Name,Pos.,Ht.,Wt.,Yr.,Hometown / High School,Previous School,Twitter,Instagram,Image,Title
94,,81.0,Chernet Estes,WR,6-0,190.0,Fr.,"Austin, Texas / Lake Travis",,,,,
95,,82.0,Austin Smith,TE,6-5,230.0,Fr.,"Edmaton, Texas / Tidehaven",,@thtsaustin,thtsaustin,,
96,,83.0,Michael Harrison,WR,6-3,205.0,So.,"San Francisco, Calif. / St. Ignatius College Prep",,@MikeyMHarrison,mikeyharrison1,,
97,,84.0,Cole Boscia,WR,6-3,210.0,Fr.,"Danville, Calif. / Monte Vista",,,,,
98,,85.0,Derek Bedell,SN,6-3,230.0,So.,"Bellflower, Calif. / St. John Bosco",,@derekbedell_28,derek.bedell,,
99,,86.0,Zach Courtney,TE,6-6,240.0,Fr.,"Post, Texas / Post",,,,,
100,,87.0,Erik Olsen,TE,6-5,250.0,Fr.,"Littleton, Colo. / Heritage",,@e_olsen12,e.j.olsen,,
101,,88.0,Brady Kopetz,TE,6-4,250.0,Fr.,"Portland, Ore. / Lincoln",,,,,
102,,89.0,Louis Passarello,TE,6-5,250.0,Fr.,"Palo Alto, Calif. / Palo Alto",,@louispassarello,louis_passarello,,
103,,90.0,Chance Main,DE,6-4,250.0,Gr.,"Cherryvale, Kan. / Cherryvale",Independence CC/Incarnate Word,,,,
104,,91.0,Na'im Rodman,DL,6-2,300.0,Jr.,"Lakewood, Calif. / St. John Bosco",,@Naimrodman,R0dman91,,
105,,92.0,Aaron Austin,DL,6-2,240.0,Fr.,"Fort Worth, Texas / North Crawley",,,,,
106,,93.0,Ryan Williams,DL,6-3,275.0,Fr.,"Pearland, Texas / Shadow Creek",,Tree93k,Tree_williams_,,
107,,95.0,Tyas Martin,DL,6-4,330.0,Fr.,"Helena, Ark. / Jacksonville",,tyasmartin2,tyy.martinn,,
108,,97.0,Allan Baugh,DL,6-2,290.0,Fr.,"Fort Lauderdale, Fla. / St. Thomas Aquinas",,@allanbaugh,allan.baugh,,
109,,98.0,Cristiano Palazzo,PK,5-9,190.0,Fr.,"Littleton, Colo. / Heritage/Oregon",,,,,
110,,99.0,Jalen Sami,DL,6-6,330.0,Jr.,"Colorado Springs, Colo. / Vista Ridge",,@samiuso,samiuso684,,
0,,,Karl Dorrell,,,,,,,,,,Head Coach
1,,,Mike Sanford,,,,,,,,,,Interim Head Coach/Quarterbacks
2,,,Phil McGeoghan,,,,,,,,,,Assistant Head Coach/Wide Receivers
3,,,Gerald Chatman,,,,,,,,,,Defensive Coordinator/Defensive Line
4,,,Clay Patterson,,,,,,,,,,Offensive Coordinator/Tight Ends
5,,,Chris Wilson,,,,,,,,,,Defensive Coordinator / Outside Linebackers
6,,,Kyle DeVan,,,,,,,,,,Assistant Coach/Offensive Line/Run Game Coordinator
7,,,Brett Maxie,,,,,,,,,,Assistant Coach/Defensive Run Game Coordinator/Safeties
8,,,Rod Chance,,,,,,,,,,Assistant Coach/Cornerbacks
9,,,Darian Hagan,,,,,,,,,,Assistant Coach/Running Backs
10,,,Chris Reinert,,,,,,,,,,Assistant Coach/Special Teams
11,,,Jeff Smart,,,,,,,,,,Assistant Coach/Linebackers
12,,,Mark Smith,,,,,,,,,,Assistant Coach/Linebackers
13,,,Nate Dodson,,,,,,,,,,Graduate Assistant/Quarterbacks
14,,,John Gardner,,,,,,,,,,Defensive Graduate Assistant Coach
15,,,Cordale Grundy,,,,,,,,,,Defensive Graduate Assistant Coach
16,,,Kolter Smith,,,,,,,,,,Offensive Graduate Assistant Coach
17,,,Michael Downing,,,,,,,,,,Quality Control/Secondary
18,,,Brandon Gibson,,,,,,,,,,Quality Control/Wide Receivers
19,,,Nicholas Gilbert,,,,,,,,,,Quality Control/Offensive Line
20,,,Shannon Turley,,,,,,,,,,Director of Strength & Conditioning
21,,,Connor Gorny,,,,,,,,,,Assistant Strength & Conditioning Coach
22,,,Darius Reese,,,,,,,,,,Assistant Strength & Conditioning Coach
23,,,Jacob Ricketts,,,,,,,,,,Assistant Strength & Conditioning Coach
24,,,Scott Sacuskie,,,,,,,,,,Assistant Strength & Conditioning Coach
25,,,Bryan McGinnis,,,,,,,,,,Director of Football Operations
26,,,Emily Funke,,,,,,,,,,Assistant Director of Football Operations
27,,,Jean Onaga,,,,,,,,,,Administrative Assistant/Assistant Coaches
28,,,Lance Carl,,,,,,,,,,Director of Player Development/Alumni Relations
29,,,Bob Lopez,,,,,,,,,,General Manager
30,,,Chandler Dorrell,,,,,,,,,,Director of Player Personnel
31,,,D.J. Bryant,,,,,,,,,,Assistant Director of Player Personnel/Scouting
32,,,Armond Hawkins,,,,,,,,,,Assistant Director of Player Personnel/HS Relations
33,,,Andy Wang,,,,,,,,,,Assistant Director of Player Personnel
34,,,Maileka Slayton,,,,,,,,,,Assistant Director/On-Campus Recruiting
35,,,Emily Giusti,,,,,,,,,,Recruiting Assistant - Communications
36,,,Brandon Kronethal,,,,,,,,,,Recruiting Assistant - Scouting
37,,,Tanner Norton,,,,,,,,,,Recruiting Assistant - Scouting
38,,,John Snelson,,,,,,,,,,Director of Creative Services
39,,,Derek Marckel,,,,,,,,,,Football Senior Art Director
40,,,Paul Morisette,,,,,,,,,,Football Design Creative Content Assistant
41,,,Jamie Guy,,,,,,,,,,Director of Sports Video
42,,,Brian Cabral,,,,,,,,,,Character Coach
