,Statistic,No.,Name,Pos.,Ht.,Wt.,Year,Hometown,High School / Previous School,Twitter,Instagram,Image,Title
35,,32.0,Ky Montgomery,DL,6-3,287.0,R-So.,"Indianapolis, Ind.",Pike,KyranMontgomer2,kyranmontgomery,,
36,,33.0,Chad Bailey,LB,6-0,234.0,Sr.,"Missouri City, Texas",Ridge Point,Chad_mvp26,chaddyb__,,
37,,33.0,Bryce Jackson,RB,5-7,205.0,So.,"Columbia, Mo.",Rock Bridge,bryceljackson33,actionb.jackson,,
38,,35.0,Boyton Cheney,DB,5-9,179.0,R-Fr.,"Fayetteville, Ga.",Whitewater,BoytonKeith,boytoncheney,,
39,,35.0,Michael Cox,RB,6-1,226.0,Jr.,"Atlanta, Ga.",Holy Innocents’ Episcopal,mcox246899,glorywithin,,
40,,36.0,Devyn Butler,DB,5-9,175.0,R-So.,"Allen, Texas",Allen / Texas Tech,DevynButler7,devynbutler7,,
41,,36.0,Tucker Miller,TE,6-5,234.0,R-Fr.,"Raymore, Mo.",Raymore-Peculiar,,,,
42,,38.0,Justin Efebera,DB,5-11,199.0,Sr.,"Columbus, Ohio",Saint Charles Prep,justinefebera,justinefebera,,
43,,38.0,Christopher Kreh,RB,5-9,212.0,R-So.,"Chesterfield, Mo.",Marquette,BubbaKreh10,_chriskreh,,
44,,39.0,Caimin Hayes,DB,5-10,197.0,Jr.,"Philadelphia, Penn.",Malvern Prep,caiminhayes,caiminhayes,,
45,,41.0,Carmycah Glass,LB,6-4,226.0,R-Fr.,"Monroe, La.",Ouachita Parish,carmycah_,carmycah_,,
46,,43.0,Isaac Thompson,DB,6-0,195.0,R-Fr.,"St. Louis, Mo.",St. Louis University HS,isaacthompson__,_isaac.thompson,,
47,,45.0,DJ Wesolak,LB,6-3,236.0,R-Fr.,"Boonville, Mo.",Boonville,deandrewesolak,deandrewesolak,,
48,,52.0,Vic Garrido,LB,6-1,216.0,R-Fr.,"Huntersville, N.C.",Pine Lake Prep,vicgarrido_5,vic_garrido5,,
49,,54.0,Luke Griffin,OL,6-5,328.0,Sr.,"Chatsworth, Ga.",North Murray,Griffin54Luke,luke_griffin54,,
