,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Hometown/High School,Previous School,Major,Twitter,Instagram,Opendorse,Title
36,,20.0,,Seth Robertson,DB,5-10,190.0,Jr.,"Madison, Ga. / Morgan County",,Interdisciplinary Studies,SRob_14,seth.rob20,seth-robertson,
37,,21.0,,Zyon McGee,LB,6-1,215.0,R-Sr.,"Bainbridge, Ga. / Bainbridge",,Psychology,McgeeZyon,zee_certified,zyon-mcgee,
38,,21.0,,Marcus Sanders Jr.,WR,6-3,195.0,Fr.,"Montezuma, Ga. / Macon County",,Sport Management,MarcusSandersJ3,,marcus-sanders-jr,
39,,22.0,,OJ Arnold,RB,5-10,180.0,Fr.,"Quitman, Ga. / Brooks County",,Sport Management,itsmari_12,ok.mari1k,Omari-Arnold,
40,,22.0,,Marc Stampley II,DB,5-11,180.0,Fr.,"Peachtree City, Ga. / Starr's Mill",,Engineering,marc_stampley,,marc-stampley-ll,
41,,23.0,,Tyler Jordan,RB,6-0,215.0,R-Jr.,"Macon, Ga. / Stratford Academy",Georgia Military College,Sport Management,tyjordan_4,tyjordan_4,tyler-jordan,
42,,23.0,,Mari Wingard,DB,6-0,185.0,5th Year,"Charlotte, N.C. / Ardrey Kell",Elon,Finance,,mariwingard,shamari-wingard,
43,,24.0,,Jailen Barber,DB,6-2,170.0,Fr.,"Snellville, Ga. / South Gwinnett",,Management,jailenbarber,_jai7en,,
44,,24.0,,Joshua Thompson,WR,5-11,170.0,Fr.,"Johns Creek, Ga. / Johns Creek",,Sport Management,JT_Jet5,,Joshua-Thompson,
45,,25.0,,Quincy Bonner,DB,6-2,185.0,R-Fr.,"Lithonia, Ga. / Meadowcreek",Army West Point Prep,Exercise Science,bonner_quincy,quincy.wb,quincy-bonner,
46,,25.0,,Jalen White,RB,6-0,215.0,Jr.,"Daleville, Ala. / Daleville",,Interdisciplinary Studies,JalenJWhite1,jwhite.xxv,jalen-white,
47,,26.0,,Dalen Cobb,WR,5-10,195.0,Fr.,"Washington, Ga. / Washington-Wilkes",,Health & Physical Education,DalenCobb1,iamdalencobb,dalen-cobb,
48,,26.0,,Justin Nelson,DB,5-11,180.0,R-Jr.,"Lithonia, Ga. / Arabia Mountain",U.S. Naval Academy,Computer Science,Justinn0725,Jusstxn,justin-nelson,
49,,27.0,,Ethan Dirrim,TE,6-3,225.0,Jr.,"Canton, Ga. / Creekview",Mercer,Psychology,ethandirrim,ethandirrim,ethan-dirrim,
50,,27.0,,Isaac Walker,DL,6-2,225.0,R-Fr.,"Greensboro, N.C. / Hough",,Sociology,ikefromda6,isaacjamaal,isaac-walker-profile,
51,,28.0,,Ezrah Archie,WR,6-0,190.0,6th Year,"Sicklerville, N.J. / Timber Creek",Monmouth,Multimedia and Film Production,ezraharchie,ezraharchie,ezrah-archie,
52,,28.0,,Zyere Horton,LB,6-2,200.0,Fr.,"Woodstock, Ga. / Milton",,Management,zyerehorton,zyerehorton,zyere-horton,
53,,29.0,,AJ Brown,RB,5-6,175.0,R-Jr.,"Grovetown, Ga. / Harlem",,Interdisciplinary Studies,aj_brown22,yeahits_aj,aj-brown-_iYCm15w,
54,,29.0,,Justin Meyers,DB,5-11,200.0,R-Fr.,"Washington, Ga. / Washington Wilkes",,Health & Physical Education,_Justin9_,justinn9__,justin-meyers,
55,,30.0,,Alex Bowen,WR,6-0,190.0,R-So.,"Glen Saint Mary, Fla. / Baker County",,Exercise Science,alexbowen2323,alexbowen10,Alex-Bowen,
56,,30.0,,Jack Ferguson,DB,5-11,175.0,R-So.,"Marietta, Ga. / Lassiter",,Multimedia Journalism,,__jackferguson__,jack-ferguson,
57,,31.0,,Chase Dial-Watson,DB,5-10,195.0,R-So.,"Gainesville, Ga. / Flowery Branch",,Finance,chase_watson26,chasedialwatson,chase-dial-watson,
58,,31.0,,Brooks Pangle,QB,6-0,175.0,Fr.,"Appling, Ga. / Greenbrier",,Management,brooks_pangle,brookspangle,,
59,,32.0,,Kevin Speed,DB,6-1,185.0,Fr.,"Cairo, Ga. / Cairo",,Marketing,K3vinspeed,K3vinspeed,kevin-speed,
60,,33.0,,Robert Edwards III,RB,5-11,205.0,Fr.,"Columbus, Ga. / Columbus",,Exercise Science,kvng_rob3,kvngg_robert3,robert-edwards-iii,
61,,33.0,,Marques Watson-Trent,LB,5-11,220.0,R-So.,"Beaver Falls, Pa. / Blackhawk",,Interdisciplinary Studies,_MW23__,finessin_marmar,maruqes-watson-trent,
62,,34.0,,Jon Ferguson,LB,6-1,230.0,R-Sr.,"Manchester, Ga. / Manchester",,Interdisciplinary Studies,jontaviou74,_da_truth34,jontavious-ferguson,
63,,35.0,,Chandler Dial-Watson,DB,5-11,200.0,R-So.,"Gainesville, Ga. / Flowery Branch",,Finance,dial_watson21,c_wats0n,chandler-dial-watson,
64,,35.0,,Terron Dixon II,RB,5-10,185.0,R-Jr.,"Pembroke, Ga. / Bryan County",LaGrange,Psychology,terron_dixon2,thattboyy.td,terron-dixon,
65,,36.0,,Justin Howell,WR,5-11,185.0,R-Jr.,"Snellville, Ga. / Shiloh",,Computer Science,JZ3Howell,justinhowell_,justin-howell,
66,,36.0,,Treston Jordan,DB,6-0,200.0,Fr.,"Alpharetta, Ga. / Denmark",,Management,TrestonJordan,,treston-jordan,
67,,37.0,,Quincy Darnell,LB,6-2,210.0,R-Jr.,"Alpharetta, Ga. / Johns Creek",,Exercise Science,quincydarnell10,quincydarnell_,quincy-darnell,
68,,39.0,,Reid Dedman,LB,5-11,200.0,R-Jr.,"Carrollton, Ga. / Carrollton",,Interdisciplinary Studies,The_reid_Dedman,The_reid_Dedman,reid-dedman,
69,,40.0,,Jalen Jackson,LB,6-0,235.0,Jr.,"Athens, Ga. / Cedar Shoals",,Interdisciplinary Studies,,_.saucey7,jalen-jackson,
70,,41.0,,Tracy Hill Jr.,DB,6-2,180.0,Fr.,"Athens, Ga. / Clarke County",Georgia Knights Prep Academy,Computer Science,9_golive,,Tracy-Hill,
71,,41.0,,Nathan Tillman,LS,6-0,225.0,R-Fr.,"Claxton, Ga. / Claxton",,Sport Management,24nate_,,nathan-tillman,
72,,42.0,,Dillon Springer,DL,6-1,255.0,6th Year,"Baton Rouge, La. / Midland (TX)",Trinity Valley CC,Interdisciplinary Studies,dilman42,dill_what_it_is,dillon-springer,
73,,43.0,,Jacob Hammonds,LB,6-3,200.0,Fr.,Griffin Ga. / Griffin,,Management,hammonds224,,jacob-hammonds,
74,,44.0,,Jeffrey Smyth,LB,5-11,195.0,R-Jr.,"Beaufort, S.C. / Beaufort",Presbyterian,Exercise Science,jeffreytsmyth,jeffreytsmyth,jeffrey-smyth,
75,,45.0,,MJ Stroud,LB,6-3,225.0,Fr.,"Covington, Ga. / Alcovy",,Sport Management,mjstroud18_,,,
76,,46.0,,Andrew Douglas,DB,5-11,190.0,R-Fr.,"Decatur, Ga. / Mount Vernon",,Management,AndrewDoug6,drew_king_5,andrew-douglas,
