,Statistic,#,Full Name,Pos.,Ht.,Wt.,Academic Year,Hometown,High School,Previous School,Instagram,Twitter,Image,Name,Title
4,,,,,,,,,,,,,,Brad Lambert,Defensive Coordinator
5,,,,,,,,,,,,,,Wayne Lineburg,Special Teams Coordinator/Tight Ends
6,,,,,,,,,,,,,,James Adams,"Assistant Coach, Safeties"
7,,,,,,,,,,,,,,Ari Confesor,"Assistant Coach, Wide Receivers"
8,,,,,,,,,,,,,,John Hunter,Running Backs
9,,,,,,,,,,,,,,Nick Tabacca,Offensive Line
10,,,,,,,,,,,,,,Glenn Spencer,Linebackers
11,,,,,,,,,,,,,,Chip West,"Assistant Coach, Cornerbacks"
12,,,,,,,,,,,,,,Jake Benzinger,Offensive Analyst
13,,,,,,,,,,,,,,Patrick Parrilli,Offensive Analyst
14,,,,,,,,,,,,,,David Elson,Defensive Analyst
15,,,,,,,,,,,,,,Ryan Schutta,Special Teams Analyst
16,,,,,,,,,,,,,,Chase Mummau,Defensive Quality Control
17,,,,,,,,,,,,,,Neal Davis,Graduate Assistant
18,,,,,,,,,,,,,,Baer Hunter,Graduate Assistant
19,,,,,,,,,,,,,,"Chuck Wade, Jr.",Graduate Assistant
20,,,,,,,,,,,,,,Jordan Jarry,Associate Athletic Director - Football/Chief of Staff
21,,,,,,,,,,,,,,Chris Osgood,Director of Football Operations
22,,,,,,,,,,,,,,Kate Ruley,Executive Assistant to the Head Coach
23,,,,,,,,,,,,,,Ben Baker,Video Coordinator
24,,,,,,,,,,,,,,Dylan Stevens,Assistant Director of Football Video/Operations
25,,,,,,,,,,,,,,Niles Fleet,Interim Head Football Athletic Trainer
26,,,,,,,,,,,,,,Conlan Sodrosky,Assistant Athletic Trainer
27,,,,,,,,,,,,,,Lucas Patin,"Athletic Training Intern, Football"
28,,,,,,,,,,,,,,Chad Bari,"Director, Sports Performance - Football"
29,,,,,,,,,,,,,,Brendan Nave,Senior Sports Performance Coordinator
30,,,,,,,,,,,,,,Stephen Whitlock,"Senior Sports Performance Coordinator, Football"
31,,,,,,,,,,,,,,Tarik Muse,"Coordinator of Sports Performance, Football"
32,,,,,,,,,,,,,,Benjamin Reynolds,"Sports Performance Coordinator, Football"
33,,,,,,,,,,,,,,Russ Kieselhorst,Director of Player Personnel
34,,,,,,,,,,,,,,Chris Coulter,Director of Recruiting
35,,,,,,,,,,,,,,Mitchell Browning,Recruiting Assistant
36,,,,,,,,,,,,,,Cory Martin,Football Recruiting/Personnel Assistant
37,,,,,,,,,,,,,,Brian Daniels,"Director, Equipment Services"
38,,,,,,,,,,,,,,Charles Weinberg,Assistant Equipment Manager of Football
39,,,,,,,,,,,,,,Wendell Dunn,Director of Player Development
40,,,,,,,,,,,,,,Dr. Jason George,"Director of Integrated High Performance, Football"
41,,,,,,,,,,,,,,Jane Caldwell,"Sr. Associate AD, S-A Services & Asst. to the Dean"
42,,,,,,,,,,,,,,Briana Brewer,Academic Counselor
43,,,,,,,,,,,,,,Shelbie Wilson,Academic Counselor
44,,,,,,,,,,,,,,Tiffani Franco,Academic Counselor
