,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown / High School,Current School Name,Major,Image,Name,Title
21,,15.0,T.J. Huggins,DB,6-3,185.0,R-Fr.,"Miami, Fla. / Killian",Tulane,,,,
22,,16.0,Levi Williams,RB,5-10,175.0,R-So.,"Valrico, Fla. / Bloomingdale",Tulane,Communication,,,
23,,17.0,Chris Brazzell II,WR,6-5,185.0,Fr.,"Midland, Texas / Midland Legacy",Tulane,,,,
24,,19.0,Kiland Harrison,DB,6-0,180.0,R-So.,"Raymond, Miss. / St. Joseph Catholic",Tulane,Health & Wellness,,,
25,,19.0,Garrett Mmahat,QB,6-0,185.0,Fr.,"New Orleans, LA / Brother Martin",Tulane,,,,
26,,20.0,Cameron Carroll,RB,6-0,225.0,Sr.,"Flowood, Miss. / Northwest Rankin HS",Tulane,Health & Wellness,,,
27,,20.0,Matthew Remondet,DL,6-3,225.0,R-Fr.,"Lafayette, La. / Ascension Episcopal",Tulane,,,,
28,,21.0,Makhi Hughes,RB,5-11,205.0,Fr.,"Birmingham, Alabama / Huffman",Tulane,,,,
29,,22.0,Gabe Liu,DB,5-10,174.0,R-Fr.,"Oakland, Calif. / Williston Northampton School",Tulane,Political Science,,,
30,,22.0,Tyjae Spears,RB,5-11,195.0,Jr.,"Ponchatoula, La. / Ponchatoula",Tulane,Health & Wellness,,,
31,,23.0,Lummie Young IV,S,6-1,200.0,R-Sr.,"Anderson, SC / Westside",Tulane,,,,
32,,24.0,Lucas Desjardins,WR,6-3,214.0,R-Fr.,"Houston, Texas / The Loomis Chaffee School",Tulane,,,,
33,,24.0,Tyrek Presley,DB,6-2,195.0,R-So.,"Riverdale, Ga. / Charles Drew",Tulane,Design,,,
34,,25.0,Rayshawn Pleasant,DB,6-0,180.0,Fr.,"West Monroe, Louisiana / West Monroe",Tulane,,,,
35,,26.0,Shi’Keem Laister,S,6-2,200.0,So.,"Clanton, Ala. / Chilton County High School",Tulane,,,,
36,,27.0,Austin Sybrandt,LB,6-3,220.0,R-Fr.,"Baton Rouge, La. / Episcopal HS",Tulane,,,,
37,,28.0,Jadon Canady,DB,5-11,180.0,So.,"Jacksonville, Fla. / Sandalwood",Tulane,,,,
38,,29.0,Allen Stewart,S,5-9,179.0,R-Fr.,"Baton Rouge, LA / Episcopal",Tulane,,,,
39,,29.0,Kentrell Webb,DB,5-11,185.0,Fr.,"Katy, Texas / Paetow",Tulane,,,,
40,,30.0,Jonathan Mestayer II,S,6-0,193.0,R-So.,"Baton Rouge, La. / Catholic",Tulane,Undeclared Business,,,
41,,31.0,Larry Brooks,S,6-1,200.0,Sr.,"Fort Worth, Texas / Kennedale HS",Tulane,Health & Wellness,,,
42,,32.0,Bailey Despanie,S,6-1,190.0,R-Fr.,"Lafayette, La. / Carencro",Tulane,,,,
43,,33.0,Rodrek Williams II,DB,5-9,168.0,R-Fr.,"New Orleans, La. / De La Salle",Tulane,,,,
44,,34.0,Jean-Jacques Hunter,S,6-1,178.0,R-Fr.,"Lafayette, La. / St. Thomas More HS",Tulane,,,,
45,,35.0,Jesus Machado,LB,6-0,220.0,So.,"Miami, Fla. / Champagnat Catholic",Tulane,Undeclared Business,,,
