,Statistic,No.,Full Name,Pos.,Cl.,Ht.,Wt.,Hometown / High School,Image,Name,Title
9,,,,,,,,,,E.J. Henderson,Defensive Backs Coach
0,,,,,,,,,,Maya Ana Callender,Director of Football Operations
1,,,,,,,,,,Jared Montano,Director of Football Creative Content
2,,,,,,,,,,Jason Gallucci,Director of Performance
3,,,,,,,,,,Stacie Traube,Football Business Operations & Alumni Liaison
4,,,,,,,,,,Emily Dorman,Head Athletic Trainer
5,,,,,,,,,,George O'Neil,Athletic Trainer
6,,,,,,,,,,Swati Bhatt,Princeton Athletics Fellow
7,,,,,,,,,,Bryant Blount,Princeton Athletics Fellow
8,,,,,,,,,,Johnny Bullard,Princeton Athletics Fellow
9,,,,,,,,,,Patricia Fernandez-Kelly,Princeton Athletics Fellow
10,,,,,,,,,,Khristina Gonzalez,Princeton Athletics Fellow
11,,,,,,,,,,Eric Gregory,Princeton Athletics Fellow
12,,,,,,,,,,Gene Grossman,Princeton Athletics Fellow
13,,,,,,,,,,Kevin Hudson,Princeton Athletics Fellow
14,,,,,,,,,,Stan Katz,Princeton Athletics Fellow
15,,,,,,,,,,David Miller,Princeton Athletics Fellow
16,,,,,,,,,,Kathleen Mannheimer,Princeton Athletics Fellow
17,,,,,,,,,,Jeff Nunokawa,Princeton Athletics Fellow
18,,,,,,,,,,Monica Ponce de Leon,Princeton Athletics Fellow
19,,,,,,,,,,Joe Rolón,Princeton Athletics Fellow
20,,,,,,,,,,Ken Samuel,Princeton Athletics Fellow
21,,,,,,,,,,Jordan Taylor,Princeton Athletics Fellow
22,,,,,,,,,,Robert Tignor,Princeton Athletics Fellow
23,,,,,,,,,,Momo Wolapaye,Princeton Athletics Fellow
24,,,,,,,,,,Julian Zelizer,Princeton Athletics Fellow
