,Unnamed: 0,Statistic,No.,Image,Name,Pos.,Ht.,Wt.,Cl.,Current School Name,Hometown,High School,Previous School,Title,Yr.,Hgt.,Wgt.,#,Full Name,Hometown/Previous School,Hometown (Prev School),Year,Pos,Academic Year,Hometown / High School,C,Hometown/High School,Unnamed: 7,Exp.,College,Class,Major,School,Hometown(Prev School),Hometown / Last School,Transfer,Player,CL.,NAME,POS,HT,WT,Name.1,Prev School,Yr.-Exp.,Custom Field 1,Custom Field 2,Custom Field 3,Hometown / High School / Prep (Previous College),Twitter,Instagram,FULL NAME,POS.,HT.,WT.,HOMETOWN,HIGH SCHOOL,PREVIOUS SCHOOL,MAJOR,High School / Prev. School,Letters,Photo,HIgh School,Hometown / High School (Last School),Previous College,Facebook,Previous University,High School (Prev. School),2022-23 Football Coaches,2022-23 Football Coaches.1,Eligibility,Position,Height,Weight,Number,Opendorse
59,59,,80.0,,Harrison Foster,WR,6-2,195.0,Rf.,Abilene Christian,"Sweetwater, Texas",Sweetwater HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,,81.0,,Noah Caldwell,TE,6-6,250.0,Jr.,Abilene Christian,"Electra, Texas",Electra HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,,82.0,,Cooper McCasland,WR,6-1,195.0,So.,Abilene Christian,"Hurst, Texas",Birdville HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62,,83.0,,Colt Cooper,TE,6-4,245.0,So.,Abilene Christian,"Quinlan, Texas",Ford HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,,84.0,,Jacoby Boykins,WR,6-1,200.0,Fr.,Abilene Christian,Houston,Lamar HS,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64,,86.0,,Chidubem Lebechi,TE,6-2,235.0,Rf.,Abilene Christian,"Katy, Texas",Tompkins HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65,,88.0,,Jed Castles,TE,6-6,235.0,So.,Abilene Christian,"Wichita Falls, Texas",Rider HS,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,,88.0,,Will Fargason,P,6-1,210.0,So.,Abilene Christian,"Lubbock, Texas",Trinity Christian HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67,,89.0,,Cameron Byrom,DL,6-5,250.0,So.,Abilene Christian,"Valley View, Texas",Valley View HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68,,90.0,,Syncere Massey,DL,6-5,325.0,Rf.,Abilene Christian,"Cedar Hill, Texas",Cedar Hill HS,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69,,91.0,,Sean Dubose Jr.,DL,6-2,245.0,Rf.,Abilene Christian,"Katy, Texas",Tompkins HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70,,98.0,,David Oke,DL,6-2,275.0,So.,Abilene Christian,Houston,Alief Hasting HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71,,99.0,,Colby Warkentin,DL,6-6,260.0,So.,Abilene Christian,"Bakersfield, Calif.",Centennial HS,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,72,,,,Sema'J Davis,QB,6-1,191.0,Gr.,Abilene Christian,"Midland, Texas",Midland Lee HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,,,,Keith Patterson,,,,,Abilene Christian,,,,Head Football Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,,,,Skyler Cassity,,,,,Abilene Christian,,,,Defensive Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2,,,,Ryan Pugh,,,,,Abilene Christian,,,,Offensive Coordinator / Offensive Line Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3,,,,Julian Wilson,,,,,Abilene Christian,,,,Defensive Backs Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4,,,,Matt Clark,,,,,Abilene Christian,,,,Quarterbacks Coach/Special Teams Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,5,,,,Conor Dubin,,,,,Abilene Christian,,,,Linebackers Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,6,,,,Steven Thrash,,,,,Abilene Christian,,,,Wide Receivers Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,7,,,,Jerale Badon,,,,,Abilene Christian,,,,Running Backs Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,8,,,,Dan Phillips,,,,,Abilene Christian,,,,Defensive Line Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,9,,,,Drew Cunningham,,,,,Abilene Christian,,,,Senior Defensive Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,10,,,,Devonte Danzey,,,,,Abilene Christian,,,,Tight Ends Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,11,,,,Koy Richardson,,,,,Abilene Christian,,,,Defensive Graduate Assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,12,,,,Curtis Chiaverini,,,,,Abilene Christian,,,,Offensive Graduate Assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,,,,Jordan Seawright,,,,,Abilene Christian,,,,Associate AD/Football Chief of Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,,,,Corey Smith,,,,,Abilene Christian,,,,Director of Strength and Conditioning for Football,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2,,,,Reid Miller,,,,,Abilene Christian,,,,Assistant Strength and Conditioning Coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,3,,,,James Smith,,,,,Abilene Christian,,,,Video Coordinator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4,,,,Payden Eason,,,,,Abilene Christian,,,,Equipment Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,0.0,,Marquez Beason,CB,,,,Alabama A&M,"Dallas, Texas",,Univ. of Illinois,,R-So.,5-11,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,1.0,,Brian Plummer,S,,,,Alabama A&M,"Gaithersburg, Md.",Quince Orchard HS,Buffalo,,R-So.,6-4,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,2.0,,Terrell Gardner,WR,,,,Alabama A&M,"Birmingham, Ala.",Ramsay HS,,,Sr.,5-8,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,3.0,,Jacolby Hewitt,WR,,,,Alabama A&M,"Memphis, Tenn.",Cordova HS,Florida International,,Sr.,6-1,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
