Name,School,Image Source
Kenzy Paul,Duke,https://goduke.com/sports/football/roster/kenzy-paul/19247
James Hopson II,Duke,https://goduke.com/sports/football/roster/james-hopson-ii/19227
Peyton Jones,Duke,https://goduke.com/sports/football/roster/peyton-jones/19287
Isaiah Fisher-Smith,Duke,https://goduke.com/sports/football/roster/isaiah-fisher-smith/19218
Mehki Wall,Duke,https://goduke.com/sports/football/roster/mehki-wall/19262
Tre Freeman,Duke,https://goduke.com/sports/football/roster/tre-freeman/19220
Grayson Loftis,Duke,https://goduke.com/sports/football/roster/grayson-loftis/19290
Riley Leonard,Duke,https://goduke.com/sports/football/roster/riley-leonard/19233
Jaden Watkins,Duke,https://goduke.com/sports/football/roster/jaden-watkins/19264
Quentin Ajiero,Duke,https://goduke.com/sports/football/roster/quentin-ajiero/19272
Placide Djungu-Sungu,Duke,https://goduke.com/sports/football/roster/placide-djungu-sungu/19213
Jake Taylor,Duke,https://goduke.com/sports/football/roster/jake-taylor/19259
Cade Anders,Duke,https://goduke.com/sports/football/roster/cade-anders/19196
Aeneas Peebles,Duke,https://goduke.com/sports/football/roster/aeneas-peebles/19248
William Robertson,Duke,https://goduke.com/sports/football/roster/william-robertson/19256
Da'Quan Johnson,Duke,https://goduke.com/sports/football/roster/da-quan-johnson/19231
Malik Bowen-Sims,Duke,https://goduke.com/sports/football/roster/malik-bowen-sims/19205
Jeremiah Hasley,Duke,https://goduke.com/sports/football/roster/jeremiah-hasley/19224
Vincent Anthony Jr.,Duke,https://goduke.com/sports/football/roster/vincent-anthony-jr-/19199
Travis Bates,Duke,https://goduke.com/sports/football/roster/travis-bates/19202
Khilan Walker,Duke,https://goduke.com/sports/football/roster/khilan-walker/19261
Eric Weatherly,Duke,https://goduke.com/sports/football/roster/eric-weatherly/19265
Jaylen Coleman,Duke,https://goduke.com/sports/football/roster/jaylen-coleman/19208
Moussa Kane,Duke,https://goduke.com/sports/football/roster/moussa-kane/19289
Edwin Barnes III,Duke,https://goduke.com/sports/football/roster/edwin-barnes-iii/19200
Terry Moore,Duke,https://goduke.com/sports/football/roster/terry-moore/19240
Nathan Vail,Duke,https://goduke.com/sports/football/roster/nathan-vail/19260
Desmond Aladuge,Duke,https://goduke.com/sports/football/roster/desmond-aladuge/19273
Joshua Pickett,Duke,https://goduke.com/sports/football/roster/joshua-pickett/19251
Jack Yates,Duke,https://goduke.com/sports/football/roster/jack-yates/19271
Dylan Merrell,Duke,https://goduke.com/sports/football/roster/dylan-merrell/19236
Todd Pelino,Duke,https://goduke.com/sports/football/roster/todd-pelino/19249
Carter Wyatt,Duke,https://goduke.com/sports/football/roster/carter-wyatt/19270
George Wright,Duke,https://goduke.com/sports/football/roster/george-wright/19269
Dawson Andrew,Duke,https://goduke.com/sports/football/roster/dawson-andrew/19198
Luke Mergott,Duke,https://goduke.com/sports/football/roster/luke-mergott/19292
Cam Dillon,Duke,https://goduke.com/sports/football/roster/cam-dillon/19304
Nick Morris Jr.,Duke,https://goduke.com/sports/football/roster/nick-morris-jr-/19241
Memorable Factor,Duke,https://goduke.com/sports/football/roster/memorable-factor/19216
Zach Jepson,Duke,https://goduke.com/sports/football/roster/zach-jepson/19229
Ryan Smith,Duke,https://goduke.com/sports/football/roster/ryan-smith/19257
Grissim Anderson,Duke,https://goduke.com/sports/football/roster/grissim-anderson/19197
Semaj Turner,Duke,https://goduke.com/sports/football/roster/semaj-turner/19297
Charlie Ham,Duke,https://goduke.com/sports/football/roster/charlie-ham/19223
Brian Parker II,Duke,https://goduke.com/sports/football/roster/brian-parker-ii/19246
Michael Purcell,Duke,https://goduke.com/sports/football/roster/michael-purcell/19302
Steven Nahmias,Duke,https://goduke.com/sports/football/roster/steven-nahmias/19242
Curtis Cooper,Duke,https://goduke.com/sports/football/roster/curtis-cooper/19209
Casey Donahue,Duke,https://goduke.com/sports/football/roster/casey-donahue/19214
Michael Reese,Duke,https://goduke.com/sports/football/roster/michael-reese/19253
